Chromosome	Start	End	Gene
8	73976775	74036323	C8orf84
11	74660292	74690076	SPCS2
13	96743093	97485671	HS6ST3
15	44162962	44487450	FRMD5
12	3715799	3873985	EFCAB4B
5	612387	667283	CEP72
9	33461439	33473941	NOL6
1	33207486	33240571	KIAA1522
1	33240840	33283754	YARS
15	56922379	57210769	ZNF280D
6	14117872	14137149	CD83
13	98605742	98676551	IPO5
11	74699179	74729938	NEU3
10	52750945	54058110	PRKG1
18	77155772	77289325	NFATC1
22	19863040	19929359	TXNRD2
11	55540914	55541858	OR5D13
11	55563032	55563976	OR5D14
1	33546705	33586131	ADC
5	24487209	24645087	CDH10
15	65204101	65251042	ANKDD1A
16	77822427	78014004	VAT1L
22	19929130	19957498	COMT
11	55578854	55579952	OR5L1
12	51984050	52202297	SCN8A
12	3900213	3982608	PARP11
22	19957419	20004331	ARVCF
11	55587086	55588073	OR5D18
11	55594695	55595630	OR5L2
9	94972489	95056038	IARS
13	98795434	99102023	FARP1
22	39101728	39134304	GTPBP1
HSCHR6_MHC_QBL	30898353	30911572	DPCR1
1	33611003	33647671	TRIM62
13	99102455	99230194	STK24
4	40425272	40632892	RBM47
16	78056412	78100658	CLEC3A
2	74119441	74146992	ACTG2
15	65255362	65282648	SPG21
10	73818793	73848790	SPOCK2
22	39174513	39190203	DNAL4
22	39214457	39239987	NPTXR
8	42995556	43057998	HGSNAT
10	55562531	57387702	PCDH15
10	73856278	73980083	ASCC1
11	74811608	74917594	SLCO2B1
1	33979609	34631443	CSMD2
15	65294845	65321977	MTFMT
HSCHR6_MHC_MANN	30427175	30431779	MICC
8	48173167	48648868	KIAA0146
1	34326076	34330392	HMGB4
4	40812044	41218731	APBB2
13	20977806	21099996	CRYL1
HSCHR6_MHC_MANN	30478910	30480452	TMPOP1
1	35331037	35395186	DLGAP3
9	33921691	34048947	UBAP2
11	68451247	68458643	GAL
9	75136717	75455695	TMC1
11	68474908	68519032	MTL5
14	93260576	93306308	GOLGA5
8	48685669	48872743	PRKDC
HSCHR6_MHC_SSTO	28699794	28700681	RPSAP2
11	68522088	68611878	CPT1A
1	35641979	35658749	SFPQ
14	53106634	53162618	ERO1L
13	100153671	100215645	TM9SF2
10	14880163	14913740	HSPA14
5	31532373	31555165	C5orf22
13	100634026	100639018	ZIC2
14	53173890	53195305	PSMC6
22	40440821	40731811	TNRC6B
1	35899091	36023551	KIAA0319L
10	5077549	5149878	AKR1C3
1	36023074	36032875	NCDN
5	82348665	82373682	TMEM167A
4	75480629	75490486	AREGB
8	76320149	76479078	HNF4G
HSCHR6_MHC_DBB	30447487	30452225	HLA-E
5	31639517	32111037	PDZD2
1	36038971	36060929	TFAP2E
1	36067185	36107445	PSMB2
10	27484144	27531068	ACBD5
5	82373317	82652548	XRCC4
11	66824289	66839484	RHOD
14	53196898	53241716	STYX
5	72416119	72427644	TMEM171
8	50822349	51706678	SNTG1
4	41361624	41702061	LIMCH1
15	45694529	45713617	SPATA5L1
15	45722727	45740959	C15orf48
4	3768075	3770251	ADRA2C
15	58245622	58790065	ALDH1A2
15	84115980	84287495	SH3GL3
15	45771809	45815005	SLC30A4
4	16503164	16900432	LDB2
11	59939081	59952139	MS4A6A
9	14615530	14693469	ZDHHC21
15	72766667	72879692	ARIH1
HSCHR6_MHC_SSTO	30371601	30376206	MICC
2	18735989	18741946	RDH14
10	46897641	46939148	FAM35B
20	1514897	1539489	SIRPD
20	1544167	1600707	SIRPB1
HSCHR6_MHC_SSTO	30423332	30424869	TMPOP1
9	14719722	14722715	CER1
12	70910630	71031220	PTPRB
8	79587978	79717758	IL7
9	14734664	14910993	FREM1
10	5454514	5500426	NET1
6	90074355	90121989	RRAGD
8	53535016	53658403	RB1CC1
9	40760700	40836415	ZNF658
4	17461884	17513857	QDPR
9	41321107	41327364	FAM75A4
10	5540658	5541533	CALML5
10	5566924	5568225	CALML3
4	68918916	68995598	TMPRSS11F
6	90142889	90343553	ANKRD6
4	17516788	17528727	CLRN2
10	60936350	61007534	PHYHIPL
3	58477841	58488087	KCTD6
2	55463731	55496483	MTIF2
10	61005890	61122939	FAM13C
20	2517253	2622430	TMC2
3	58490863	58523046	ACOX2
1	37261128	37499730	GRIK3
4	5053169	5502725	STK32B
12	71031853	71314623	PTPRR
4	5526296	5529528	C4orf6
4	5544499	5711275	EVC2
6	90277863	90348472	LYRM2
5	1877541	1887350	IRX4
7	77646393	79082890	MAGI2
15	78370150	78397251	SH2D7
4	76649762	76735382	USO1
9	77675489	77703133	C9orf95
15	78396948	78423886	CIB2
6	90352218	90529442	MDN1
10	15253642	15413061	FAM171A1
4	69917081	69978705	UGT2B7
15	78423840	78464291	IDH3A
4	76781020	76823724	PPEF2
8	56014949	56438714	XKR4
9	43684902	43924049	CNTNAP3B
9	77703459	77762181	OSTF1
3	47844399	47891685	DHX30
4	76831809	76862204	NAAA
4	70065669	70080449	UGT2B11
12	175931	287626	IQSEC3
2	26987152	27004099	C2orf18
4	41746099	41750987	PHOX2B
2	62115859	62374382	COMMD1
16	81040103	81066719	CENPN
4	70345883	70391732	UGT2B4
14	89290497	89344335	TTC8
15	73344051	73597547	NEO1
2	26987157	27023935	CENPA
4	70454135	70518967	UGT2A1
15	59427113	59665099	MYO1E
16	56764017	56880792	NUP93
8	56979854	56987069	RPS20
1	39303870	39325495	RRAGC
14	55033815	55260033	SAMD4A
8	57025501	57026541	MOS
1	39328636	39347289	MYCBP
12	299243	323736	SLC6A12
8	57073463	57123883	PLAG1
10	28821422	28909928	WAC
16	81069452	81080963	ATMIN
2	20646835	20649200	RHOB
6	90636248	91006627	BACH2
15	78459810	78538030	ACSBG1
4	76862103	76912115	SDAD1
2	27070615	27173219	DPYSL5
3	71003844	71633140	FOXP1
1	39330175	39347289	GJA9
4	70592566	70653679	SULT1B1
1	39351479	39407471	RHBDL2
7	90893783	90898123	FZD1
6	30908749	30921998	DPCR1
4	41992489	42089551	SLC30A9
2	55514978	55647057	CCDC88A
9	44990314	44991483	FAM27C
3	47892182	48130769	MAP4
16	81087102	81110872	C16orf46
15	59499042	59500705	LDHAL6B
4	42112870	42154895	BEND4
1	39546988	39952849	MACF1
12	329789	372039	SLC6A13
14	63173287	63568755	KCNH5
9	470291	746105	KANK1
22	43192508	43267429	ARFGAP3
15	78556428	78574538	DNAJA4
9	16416404	16870841	BNC2
22	43231418	43411151	PACSIN2
9	79034752	79122332	GCNT1
7	91570181	91739987	AKAP9
16	56899119	56949762	SLC12A3
3	58703092	59035810	C3orf67
19	6663148	6670599	TNFSF14
19	6677846	6730573	C3
22	43414609	43485434	TTLL1
15	73735499	73852355	C15orf60
15	73852355	73926475	NPTN
2	30945637	31043408	CAPN13
22	43506754	43525718	BIK
22	43528886	43539400	MCAT
22	43547520	43559248	TSPO
10	16865963	17171830	CUBN
12	71518865	71835678	TSPAN8
4	76922428	76928641	CXCL9
4	6322305	6565327	PPP2R2C
22	43562628	43583139	TTLL12
15	78570177	78592136	WDR61
4	70861647	70868287	STATH
12	71833550	71980090	LGR5
5	33936491	33939023	RXFP3
5	33944721	33984835	SLC45A2
12	56030644	56031638	OR10P1
12	56075330	56078395	METTL7B
14	21359558	21360507	RNASE3
4	492989	533985	PIGG
4	20730239	21950422	KCNIP4
9	2015342	2193624	SMARCA2
12	56078352	56109827	ITGA7
5	33986283	34008220	AMACR
12	81331594	81650533	ACSS3
6	93949738	94129265	EPHA7
7	2767746	2883958	GNA12
15	85777817	86292586	AKAP13
3	59735036	61237133	FHIT
3	71820807	71834357	PROK2
10	29577990	29607257	LYZL1
1	39957318	39991607	BMP8A
1	40026488	40042462	PABPC4
10	29746267	30025710	SVIL
20	44519591	44527459	CTSA
12	81652045	82153332	PPFIA2
4	70894130	70902255	HTN3
22	24299601	24303373	GSTT2B
9	17578953	17797127	SH3GL2
1	40089825	40105617	HEYL
22	24309089	24314721	DDTL
22	24313554	24322660	DDT
1	40124793	40137710	NT5C1A
1	40144320	40157361	HPCAL4
22	24322339	24326106	GSTT2
2	63815743	63834331	MDH1
2	23608088	23931481	KLHL29
20	44527399	44540794	PLTP
7	2945775	3083579	CARD11
16	74411156	74425978	NPIPL2
4	70916119	70924562	HTN1
15	78632666	78640572	CRABP1
16	74442529	74455649	CLEC18B
8	61099906	61193971	CA8
1	40306708	40349183	TRIT1
1	1309110	1310875	AURKAIP1
4	70999333	71042516	C4orf40
4	71062213	71070293	ODAM
11	69924408	70035634	ANO1
1	1321091	1334708	CCNL2
7	91741465	91772266	CYP51A1
20	44563267	44576662	PCIF1
3	48334754	48343175	NME6
8	85095022	85834079	RALYL
10	17184253	17244053	TRDMT1
9	79792269	80036457	VPS13A
1	40361098	40367928	MYCL1
20	44577292	44600833	ZNF335
8	98881068	99048944	MATN2
4	71108305	71117145	CSN3
8	86019323	86058315	LRRCC1
16	74485856	74641012	GLG1
7	3341080	4308632	SDK1
4	46037786	46126098	GABRG1
11	74975226	75062873	ARRB1
2	99613724	99771427	TSGA10
6	485133	693117	EXOC2
2	31395924	31456724	CAPN14
12	147073	149408	FAM138D
4	22694537	22821198	GBA3
9	18927656	19033251	FAM154A
9	69381812	69425560	ANKRD20A4
4	71296209	71348714	MUC7
14	55738021	55828636	FBXO34
4	71384257	71398459	AMTN
3	62384021	62861064	CADPS
11	64037302	64052176	BAD
2	99757948	99939204	C2orf15
1	1337288	1342693	MRPL20
20	44978167	44993043	SLC35C2
1	60452941	60539442	C1orf87
1	61330931	61928465	NFIA
8	86089460	86129387	E2F5
9	19049372	19051019	RRAGA
2	31456880	31492313	EHD3
11	64037534	64056972	GPR137
2	74443369	74570541	SLC4A5
4	46995740	47428461	GABRB1
10	17270258	17279592	VIM
10	62629196	62761198	RHOBTB1
10	63166401	63213208	TMEM26
1	1370241	1378262	VWA1
20	44994688	45061704	ELMO2
6	97372496	97588630	KLHL32
3	48413709	48442666	FBXW12
11	70049269	70053496	FADD
8	99037079	99058697	RPL30
6	655939	656963	HUS1B
8	62413115	62627199	ASPH
8	182137	197342	ZNF596
4	77079890	77135046	SCARB2
1	40942887	40962015	ZNF642
1	40974413	40982228	DEM1
4	7967039	8160559	ABLIM2
4	77135193	77232282	FAM47E
8	99129525	99172062	POP1
1	40997233	41013841	ZNF684
10	31607424	31821599	ZEB1
11	64058774	64072241	KCNK4
15	86302554	86338261	KLHL25
10	64571756	64679660	EGR2
8	99413631	99955055	STK3
3	75955846	77699115	ROBO2
15	50716577	50793280	USP8
1	62920399	63153969	DOCK7
2	74588281	74619214	DCTN1
16	82660408	83830204	CDH13
5	9629109	9630463	TAS2R1
5	10226442	10250009	FAM173B
10	17360382	17496386	ST8SIA6
8	63927638	63951730	GGH
10	17631958	17659376	PTPLA
20	45523263	45817492	EYA2
8	63961112	63998612	TTPA
15	50792759	50838905	USP50
15	67356101	67487533	SMAD3
9	80037995	80263223	GNA14
12	83080659	83528649	TMTC2
7	83587659	84122040	SEMA3A
8	2792992	4852494	CSMD1
5	10250033	10266524	CCT5
10	17686124	17757913	STAM
4	77356253	77704406	SHROOM3
15	50844670	50979012	TRPM7
9	80331003	80646374	GNAQ
1	63063158	63071830	ANGPTL3
8	65492814	65496181	BHLHE22
8	65500320	65711318	CYP7B1
14	94908801	94919127	SERPINA11
7	84624869	84816171	SEMA3D
5	10275987	10308138	CMBL
1	63833261	63904233	ALG6
14	56584532	56768244	PELI2
6	12514342	12515006	RPL15P3
14	94929054	94946026	SERPINA9
1	41972036	42501596	HIVEP3
1	42619092	42621495	GUCA2B
1	42628362	42630389	GUCA2A
3	78646390	79816965	ROBO1
2	27346682	27353680	ABHD1
1	63906441	64059392	ITGB3BP
8	6264113	6501144	MCPH1
17	2496504	2588888	PAFAH1B1
4	48068410	48136273	TXK
2	74641304	74648718	C2orf81
7	86506222	86689015	KIAA1324L
1	63989043	64038364	EFCAB7
3	48481667	48485616	CCDC72
4	48137800	48271881	TEC
8	87354967	87490649	WWP1
2	74648805	74652882	WDR54
8	6835171	6837602	DEFA1
1	43148098	43168023	YBX1
2	27353624	27357543	PREB
8	6873391	6875823	DEFA3
9	20341663	20622542	MLLT3
8	7286410	7287870	DEFB103B
2	24714783	24993571	NCOA1
9	82186688	82341658	TLE4
14	94953611	94984181	SERPINA12
14	95027428	95036250	SERPINA4
11	64067863	64072242	C11orf20
8	67039131	67087720	TRIM55
22	47158518	47571336	TBC1D22A
14	95027779	95059457	SERPINA5
2	74652963	74669549	RTKN
11	64085560	64089283	PRDX5
9	20658308	20995954	KIAA1797
3	85008132	86123579	CADM2
1	64936428	65158741	CACHD1
8	7679488	7681411	DEFB105A
8	7682694	7686575	DEFB106A
8	7693993	7698764	DEFB104A
8	7705398	7726389	SPAG11A
5	35048861	35230794	PRLR
15	79252289	79383115	RASGRF1
8	67088620	67090960	CRH
11	64073044	64084215	ESRRA
1	43198764	43205925	CLDN19
1	43212006	43232755	LEPRE1
4	72053003	72437804	SLC4A4
8	7738726	7740186	DEFB103A
1	65298912	65432187	JAK1
8	8640864	8751155	MFHAS1
10	18429606	18830798	CACNB2
5	10971952	11904155	CTNND2
2	27359723	27362278	C2orf53
1	43232940	43264127	C1orf50
2	27371872	27376378	TCF23
2	27422455	27435826	SLC5A6
3	48509197	48542259	SHISA5
15	62682725	63136830	TLN2
8	9911778	10286401	MSRA
15	79724858	79764632	KIAA1024
11	64107690	64125006	CCDC88B
3	3168600	3192563	TRNT1
5	35617946	35814713	SPEF2
16	57220049	57274387	RSPRY1
10	32735041	32863501	CCDC7
2	25042038	25142708	ADCY3
8	87878670	88627447	CNBD1
14	30045687	30661104	PRKD1
15	68346517	68483096	PIAS1
16	57279010	57287516	ARL2BP
2	65537985	65659771	SPRED2
16	57290004	57318599	PLLP
2	25166505	25194963	DNAJC27
3	3190676	3221394	CRBN
8	90769975	90803291	RIPK2
8	67540722	67579452	VCPIP1
8	67579831	67774257	SGK3
5	13690440	13944652	DNAH5
11	64126620	64139687	RPS6KA4
9	5334969	5339873	RLN1
3	48555117	48599448	PFKFB4
9	5357973	5437878	C9orf46
11	76368568	76381791	LRRC32
15	52043758	52108565	TMOD2
3	88039846	88042919	HTR1F
3	88101094	88199035	CGGBP1
15	52121825	52239492	TMOD3
4	73146686	73434516	ADAMTS3
4	26578059	26756973	TBC1D19
9	5450503	5470566	CD274
10	20105168	20569286	PLXDC2
8	67579850	67597799	C8orf44
4	73921797	73935472	COX18
2	27434895	27440046	C2orf28
2	33172039	33624576	LTBP1
6	4021501	4065217	PRPF4B
9	71736224	71870124	TJP2
3	3742498	4508965	SUMF1
9	85594500	85678092	RASEF
2	27440258	27466660	CAD
4	73939093	74124515	ANKRD17
4	26859300	27027003	STIM2
4	79697496	79837526	BMP2K
3	49145479	49158371	USP19
5	93954052	94075141	ANKRD32
5	14143811	14532235	TRIO
4	52709166	52783003	DCUN1D4
7	92759368	92777682	SAMD9L
8	67974661	68108498	CSPP1
17	9813926	10101868	GAS7
7	92817899	92855837	HEPACAM2
11	67758575	67772452	UNC93B1
3	66119285	66438530	SLC25A26
2	33661391	33789817	RASGRP3
10	51026325	51130715	PARG
4	36067620	36246131	ARAP2
9	35681989	35691017	TPM2
20	49551404	49575092	DPM1
2	61293006	61391960	KIAA1841
8	91803778	91971636	NECAB1
20	49575363	49577820	MOCS3
20	49620193	49639666	KCNG1
9	72324438	72374875	PTAR1
8	68085747	68255912	ARFGEF1
1	43803475	43818443	MPL
1	43824599	43828874	CDC20
1	43829068	43833697	ELOVL1
1	1656277	1677431	SLC35E2
10	51371390	51732941	TIMM23B
1	43849588	43855479	MED8
14	96671016	96710666	BDKRB2
10	34398488	35104253	PARD3
9	72435709	72521148	C9orf135
8	68334360	68658620	CPA6
8	13947373	15095848	SGCZ
3	3841121	3889387	LRRN1
8	15274724	15624158	TUSC3
1	1682671	1711896	NADK
10	51464162	51486327	AGAP7
4	53460340	53525502	USP46
9	86451613	86536342	KIF27
9	35696945	35732392	TLN1
2	68592305	68624585	PLEK
4	37828255	37864558	PGM2
20	51588946	52107617	TSHZ2
3	4535032	4889524	ITPR1
2	68689486	68694390	FBXO48
2	68694693	68858004	APLF
9	86553226	86571901	C9orf64
3	96533425	97471304	EPHA6
5	36876861	37066515	NIPBL
8	16884747	16980153	EFHA2
8	69242957	69731257	C8orf34
10	51565108	51590734	NCOA4
4	37892708	38140796	TBC1D1
9	27948076	28670283	LINGO2
8	17013538	17082308	ZDHHC2
8	70378859	70573150	SULF1
9	32384601	32450834	ACO1
10	12391481	12877545	CAMK1D
9	86582998	86595569	HNRNPK
10	12938627	13141652	CCDC3
20	54944445	54967393	AURKA
4	81256874	81884910	C4orf22
10	51592080	51623365	TIMM23
2	61372243	61391964	C2orf74
9	35732332	35737001	CREB3
8	17155539	17271037	MTMR7
8	17354597	17428082	SLC7A2
4	2271309	2420390	ZFYVE28
20	54967427	54979518	CSTF1
3	50400233	50541675	CACNA2D2
9	35736863	35749983	GBA2
20	54987168	55034396	CASS4
7	92861653	92988338	CCDC132
5	37106330	37249530	C5orf42
20	55204358	55214339	TFAP2C
4	38825336	38858438	TLR6
4	38869298	38947360	FAM114A1
10	70587298	70655188	STOX1
9	35749203	35758572	RGP1
10	70661034	70706603	DDX50
9	35752987	35756610	MSMP
9	86595626	86618985	RMI1
3	97595819	97663810	CRYBG3
5	94987885	95034415	SPATA9
12	91444268	91451760	KERA
12	91496406	91505608	LUM
10	70715884	70744829	DDX21
10	23384435	23410942	MSRB2
10	23481256	23483181	PTF1A
10	23492745	23539610	C10orf115
14	32798479	33300567	AKAP6
5	95049226	95160087	RHOBTB3
10	23983675	24836772	KIAA1217
3	98188324	98189420	OR5K1
3	98216448	98217496	OR5K2
3	98216756	98241910	CLDND1
5	37379314	37753537	WDR70
10	70748487	70776738	KIAA1279
12	54332535	54340328	HOXC13
14	33404139	34273382	NPAS3
14	99635624	99737861	BCL11B
12	92536286	92539673	BTG1
14	99864083	99947216	SETD3
9	36036430	36124448	RECK
12	93096619	93102325	C12orf74
2	69688532	69901481	AAK1
10	35535953	35860852	CCNY
16	85645015	85709810	KIAA0182
3	98250743	98251960	GPR15
14	99947506	100001381	CCNK
11	289135	296107	ATHL1
11	298200	299526	IFITM5
11	307631	315272	IFITM2
3	48599160	48601206	UCN2
3	48601506	48632700	COL7A1
11	313506	315272	IFITM1
15	71389291	72075722	THSD4
5	95865525	96115299	CAST
11	319669	321340	IFITM3
11	369796	382116	B4GALNT4
12	54558529	54582778	SMUG1
14	99977603	100070363	CCDC85C
11	392614	404908	PKP3
2	25600067	25896503	DTNB
3	49158547	49170551	LAMB2
10	98124363	98273675	TLL2
12	54624724	54673955	CBX5
10	98277866	98347209	TM9SF3
9	36572859	36677678	MELK
10	43278249	43326856	BMS1
3	49199968	49203754	CCDC71
3	49209044	49213918	KLHDC8B
5	78668459	78810040	HOMER1
3	50648951	50686720	MAPKAPK3
10	98353069	98480271	PIK3AP1
3	49235861	49295537	CCDC36
3	50712672	51421629	DOCK3
2	26256976	26360323	RAB10
12	54685895	54694905	NFE2
19	8953269	8954016	MBD3L1
19	8959520	9092018	MUC16
17	53796988	53809482	TMEM100
17	53828340	53920191	PCTP
17	80477589	80602538	FOXK2
17	80572438	80606429	WDR45L
3	49506146	49573048	DAG1
14	92588281	92630755	CPSF2
17	30771502	30809398	PSMD11
17	30813637	30818274	CDK5R1
17	30819628	31203902	MYO1D
3	49591922	49708978	BSN
11	62623518	62656352	SLC3A2
7	94989256	95025680	PON3
7	95034175	95064510	PON2
11	71900602	71907345	FOLR1
16	85709804	85722605	GINS2
11	71927645	71932994	FOLR2
11	62676151	62689279	CHRM1
7	95107756	95169544	ASB4
7	95212811	95225828	PDK4
2	27805897	27858041	ZNF512
7	95401866	95739634	DYNC1I1
2	27848506	27851879	CCDC121
2	27851114	27874375	GPN1
17	32582313	32584222	CCL2
7	95749532	95951459	SLC25A13
17	32597240	32599261	CCL7
2	27873679	27886676	SUPT7L
2	27886338	27917840	SLC4A1AP
16	85741123	85784689	C16orf74
7	96745902	96811075	ACN9
2	28004231	28113965	RBKS
7	97361220	97369784	TAC1
11	71934745	71950149	INPPL1
11	71950121	71956708	PHOX2A
11	72003469	72145692	CLPB
16	87362942	87425748	FBXO31
2	28112808	28561768	BRE
11	63448918	63527363	RTN3
7	97613996	97620481	OCM2
2	28680012	28866654	PLB1
11	72396114	72504644	ARAP1
17	56422539	56429563	SUPT4H1
17	56429861	56494480	RNF43
17	56497529	56565759	HSF5
12	95611522	95696566	VEZT
17	39593529	39597173	KRT38
17	39616063	39623681	KRT32
11	63580860	63595190	C11orf84
17	39632941	39637392	KRT35
2	71035775	71047732	CLEC4F
2	71057347	71062952	CD207
2	71127720	71160576	VAX2
16	88519725	88601572	ZFPM1
11	72465774	72505213	STARD10
11	72525353	72554719	ATG16L2
2	29179477	29275096	FAM179A
12	96051583	96184930	NTN4
2	29284556	29297127	C2orf71
2	29320560	29412509	CLIP4
12	96252706	96297606	SNRPF
12	96260826	96336752	CCDC38
2	71409869	71454213	PAIP2B
2	71503691	71662199	ZNF638
19	30302805	30315215	CCNE1
11	72547790	72853306	FCHSD2
2	29415640	30144432	ALK
2	71680852	71913898	DYSF
17	61086898	61505067	TANC2
1	46085716	46089729	CCDC17
1	46092976	46153785	GPBP1L1
1	46152886	46160115	TMEM69
1	46159996	46216322	IPP
1	46252659	46501896	MAST2
17	39642388	39648798	KRT36
17	39657233	39661849	KRT13
17	39669995	39678781	KRT15
17	39679869	39684560	KRT19
17	70642086	71088853	SLC39A11
17	40976443	40995775	PSME3
17	40996609	41002722	AOC2
17	41003201	41010138	AOC3
17	41052815	41065386	G6PC
19	43670408	43690688	PSG5
19	43696854	43709926	PSG4
19	43757434	43773682	PSG9
17	42754805	42767165	CCDC43
17	42785976	42829632	DBF4B
1	46505812	46642160	PIK3R3
17	45973516	46006323	SP2
17	46018889	46026673	PNPO
17	46047900	46059147	CDK5RAP3
17	46210802	46507594	SKAP1
17	46626232	46682274	HOXB3
17	37026256	37078023	LASP1
17	37092685	37123655	FBXO47
1	47011316	47017199	KNCN
1	47023090	47082515	MKNK1
17	46652875	46657473	HOXB4
17	46668619	46671323	HOXB5
17	46671639	46682354	HOXB6
17	46684594	46710934	HOXB7
17	46688739	46692478	HOXB8
17	46698518	46703839	HOXB9
17	5185558	5289129	RABEP1
1	48998527	50489585	AGBL4
1	50905150	51425935	FAF1
1	52042851	52254889	OSBPL9
17	6297013	6338519	AIPL1
17	6347735	6354789	FAM64A
17	6354584	6459814	PITPNM3
19	48774654	48790863	ZNF114
19	48799714	48825130	CCDC114
19	48828629	48833810	EMP3
19	48835613	48867197	TMEM143
19	49403307	49426528	NUCB1
1	53971910	54199877	GLIS1
1	54231133	54304533	TMEM48
1	54317392	54356407	YIPF1
17	48445218	48450575	MRPL27
17	48450581	48458844	EME1
17	48452420	48474914	LRRC59
17	48503519	48552206	ACSF2
17	48541857	48546327	CHAD
2	86362993	86363129	SNORD94
5	40832758	40832837	SNORD72
9	19063654	19063784	SCARNA8
16	71792305	71792390	SNORD71
X	153628622	153628756	SNORA70
1	40033046	40033180	SNORA55
1	155889700	155889836	SNORA42
1	173836809	173836888	SNORD74
17	7478031	7478165	SNORA48
17	7481273	7481409	SNORA67
17	58308877	58309007	SCARNA20
3	186505089	186505220	SNORA63
4	53579416	53579537	SNORA26
8	56986394	56986460	SNORD54
8	99054314	99054445	SNORA72
11	8705774	8705903	SNORA3
11	9450320	9450501	SNORA23
11	62432894	62433042	SNORA57
11	62620382	62620507	SNORD22
11	62620797	62620867	SNORD31
11	62621135	62621204	SNORD30
11	62621376	62621440	SNORD29
11	62622093	62622167	SNORD28
11	62622484	62622555	SNORD27
11	62622764	62622838	SNORD26
11	62623040	62623102	SNORD25
HG1091_PATCH	59735036	61237194	FHIT
HG1257_PATCH	72344322	72416397	POM121
HG1257_PATCH	73057618	73088967	MLXIPL
HG1257_PATCH	73132249	73136536	VPS37D
HG1257_PATCH	73146695	73147877	DNAJC30
HG1257_PATCH	73147449	73169585	WBSCR22
HG1257_PATCH	74997724	75203386	HIP1
HG1257_PATCH	75233957	75254320	CCL26
HG1257_PATCH	75276089	75287780	CCL24
HG348_PATCH	94822976	94865811	ENDOD1
LRG_123	5001	18020	UNC93B1
LRG_147	5001	17572	G6PC
LRG_162	5001	192076	PRKDC
LRG_207	5001	149245	SGCG
LRG_208	5001	1153420	SGCZ
LRG_22	5001	8058	C1QA
LRG_228	5001	9240	FADD
LRG_23	5001	13348	C1QB
LRG_24	5001	9486	C1QC
LRG_243	5001	44469	GARS
LRG_267	5001	520541	SBF2
LRG_27	5001	47817	C3
LRG_283	5088	221929	LEPR
LRG_287	5001	409120	KCNQ1
LRG_331	5001	174799	AKAP9
LRG_4	5001	38816	CRTAP
LRG_5	5001	25750	LEPRE1
LRG_50	5001	49182	CTSC
LRG_56	5001	51972	DNMT3B
LRG_63	5001	17116	GFI1
LRG_85	5001	81575	MRE11A
LRG_94	5001	10428	PRF1
